#GRM32DC72A475ME01,,
#2023/01/18,,
#c_dcbias_capchange,,
#capchange  25.0degC  AC1.0Vrms,,
DC Bias[V],Cap. Change Rate[%],
0.0,0.0,
0.5,0.6285037507929081,
1.0,0.9061191050543593,
1.5,0.9358664166355224,
2.0,0.7902345166073133,
2.5,0.5196362103344176,
3.0,0.1587035687020455,
3.5,-0.2691081039842391,
4.0,-0.7481892816777358,
4.5,-1.2683824946559064,
5.0,-1.8232702082742636,
5.5,-2.4089550621920974,
6.0,-3.023194602771462,
6.5,-3.664790920982164,
7.0,-4.333163544354024,
7.5,-5.0280540849012345,
8.0,-5.749325598189136,
8.5,-6.496829950895244,
9.0,-7.270323896489228,
9.5,-8.069419867168303,
10.0,-8.893561309349995,
10.5,-9.742015148816341,
11.0,-10.613875973624076,
11.5,-11.508077982971454,
12.0,-12.423411820349383,
12.5,-13.35854419755882,
13.0,-14.312038799344396,
13.5,-15.28237739157201,
14.0,-16.26798037851085,
14.5,-17.267226295548888,
15.0,-18.27846990324391,
15.5,-19.30005868238478,
16.0,-20.33034762874505,
16.5,-21.367712319001896,
17.0,-22.410560271984505,
17.5,-23.45734066682217,
18.0,-24.506552505226654,
18.5,-25.556751321863924,
19.0,-26.606554556674944,
19.5,-27.654645707697668,
20.0,-28.69977738381113,
20.5,-29.740773374753047,
21.0,-30.776529851661117,
21.5,-31.806015805826338,
22.0,-32.82827282675312,
22.5,-33.84241431352765,
23.0,-34.84762420600712,
23.5,-35.84315531486173,
24.0,-36.82832732203424,
24.5,-37.802524516024164,
25.0,-38.76519331946916,
25.5,-39.71583966001319,
26.0,-40.65402622933717,
26.5,-41.57936966955938,
27.0,-42.4915377210171,
27.5,-43.39024636064457,
28.0,-44.275256955865906,
28.5,-45.146373454965584,
29.0,-46.003439631415525,
29.5,-46.84633639649283,
30.0,-47.67497919172876,
30.5,-48.489315470282065,
31.0,-49.289322274171,
31.5,-50.075003912409834,
32.0,-50.846389743471306,
32.5,-51.603532064099355,
33.0,-52.346504105275656,
33.5,-53.07539813515595,
34.0,-53.79032366791841,
34.5,-54.49140577677478,
35.0,-55.17878350880003,
35.5,-55.85260839879167,
36.0,-56.5130430789847,
36.5,-57.160259981182485,
37.0,-57.794440127645096,
37.5,-58.41577200694399,
38.0,-59.02445053090536,
38.5,-59.620676068717714,
39.0,-60.20465355428301,
39.5,-60.7765916629245,
40.0,-61.336702053621025,
40.5,-61.88519867301616,
41.0,-62.42229711755791,
41.5,-62.9482140502283,
42.0,-63.463166668456836,
42.5,-63.967372219925764,
43.0,-64.46104756313677,
43.5,-64.94440876972493,
44.0,-65.41767076566474,
44.5,-65.8810470086445,
45.0,-66.33474919903055,
45.5,-66.77898702198459,
46.0,-67.21396791842544,
46.5,-67.63989688266608,
47.0,-68.05697628468103,
47.5,-68.46540571508315,
48.0,-68.8653818510122,
48.5,-69.25709834124358,
49.0,-69.64074570894276,
49.5,-70.01651127059105,
50.0,-70.38457906970443,
50.5,-70.74512982406655,
51.0,-71.09834088528852,
51.5,-71.44438620957179,
52.0,-71.78343633866002,
52.5,-72.11565839001764,
53.0,-72.44121605534957,
53.5,-72.7602696066447,
54.0,-73.07297590898501,
54.5,-73.3794884394203,
55.0,-73.67995731126548,
55.5,-73.97452930321768,
56.0,-74.26334789275899,
56.5,-74.54655329332509,
57.0,-74.82428249478804,
57.5,-75.0966693068265,
58.0,-75.36384440478912,
58.5,-75.6259353777006,
59.0,-75.88306677808323,
59.5,-76.13536017329443,
60.0,-76.38293419811151,
60.5,-76.62590460831723,
61.0,-76.8643843350602,
61.5,-77.09848353978876,
62.0,-77.32830966957388,
62.5,-77.55396751265367,
63.0,-77.77555925405233,
63.5,-77.99318453113362,
64.0,-78.20694048897732,
64.5,-78.41692183545885,
65.0,-78.62322089594443,
65.5,-78.82592766751542,
66.0,-79.02512987263987,
66.5,-79.22091301223331,
67.0,-79.41336041804543,
67.5,-79.60255330432089,
68.0,-79.78857081869735,
68.5,-79.97149009229382,
69.0,-80.15138628896794,
69.5,-80.32833265370729,
70.0,-80.50240056013683,
70.5,-80.67365955712967,
71.0,-80.8421774144976,
71.5,-81.00802016776194,
72.0,-81.17125216199415,
72.5,-81.33193609471886,
73.0,-81.49013305788775,
73.5,-81.64590257891501,
74.0,-81.79930266078617,
74.5,-81.95038982124218,
75.0,-82.09921913104512,
75.5,-82.24584425133591,
76.0,-82.39031747009255,
76.5,-82.53268973769987,
77.0,-82.6730107016462,
77.5,-82.81132874035102,
78.0,-82.94769099614754,
78.5,-83.08214340742887,
79.0,-83.21473073997016,
79.5,-83.34549661744926,
80.0,-83.47448355117295,
80.5,-83.60173296903146,
81.0,-83.7272852436916,
81.5,-83.85117972004927,
82.0,-83.97345474195596,
82.5,-84.09414767823108,
83.0,-84.21329494798529,
83.5,-84.33093204526322,
84.0,-84.4470935630234,
84.5,-84.56181321647685,
85.0,-84.67512386579001,
85.5,-84.78705753817901,
86.0,-84.89764544939985,
86.5,-85.00691802466145,
87.0,-85.11490491896473,
87.5,-85.22163503689153,
88.0,-85.32713655185418,
88.5,-85.43143692482103,
89.0,-85.53456292252949,
89.5,-85.63654063520679,
90.0,-85.73739549380383,
90.5,-85.83715228676057,
91.0,-85.93583517631697,
91.5,-86.03346771437708,
92.0,-86.13007285794264,
92.5,-86.22567298412869,
93.0,-86.32028990476826,
93.5,-86.41394488062582,
94.0,-86.50665863522093,
94.5,-86.59845136828166,
95.0,-86.68934276883505,
95.5,-86.77935202794072,
96.0,-86.86849785108832,
96.5,-86.95679847025787,
97.0,-87.04427165565708,
97.5,-87.1309347271493,
98.0,-87.21680456537197,
98.5,-87.30189762256263,
99.0,-87.38622993309592,
99.5,-87.46981712374424,
100.0,-87.55267442366605,
